Date,Open,High,Low,Close,Adj Close,Volume
2009-09-14,24.404285,24.842857,24.321428,24.817142,21.658245,80502800
2009-09-15,24.862858,25.092857,24.798571,25.022858,21.837778,106617700
2009-09-16,25.427143,26.107143,25.411428,25.981428,22.674335,188505800
2009-09-17,25.997143,26.684286,25.995714,26.364286,23.008459,202643000
2009-09-18,26.547142,26.650000,26.394285,26.431429,23.067062,150395700
2009-09-21,26.327143,26.451429,25.945715,26.288572,22.942383,109428900
2009-09-22,26.455715,26.482857,26.121429,26.354286,22.999739,89188400
2009-09-23,26.485714,26.985714,26.432858,26.500000,23.126902,148390900
2009-09-24,26.742857,26.814285,26.110001,26.260000,22.917452,137720100
2009-09-25,26.001429,26.500000,25.920000,26.052856,22.736666,111309800
2009-09-28,26.267143,26.668571,26.190001,26.592857,23.207937,84361200
2009-09-29,26.675714,26.771429,26.330000,26.482857,23.111938,86346400
2009-09-30,26.590000,26.635714,26.087143,26.478571,23.108200,134896300
2009-10-01,26.478571,26.602858,25.814285,25.837143,22.548410,131177900
2009-10-02,25.915714,26.562857,25.907143,26.414286,23.052095,138327000
2009-10-05,26.600000,26.694286,26.324286,26.574286,23.191732,105783300
2009-10-06,26.820000,27.144285,26.757143,27.144285,23.689175,151271400
2009-10-07,27.108572,27.221428,27.004286,27.178572,23.719097,116417000
2009-10-08,27.237143,27.350000,26.984285,27.038572,23.596918,109552800
2009-10-09,26.995714,27.242857,26.945715,27.209999,23.746527,73318000
2009-10-12,27.288572,27.358572,27.091429,27.258572,23.788916,72006200
2009-10-13,27.232857,27.309999,27.100000,27.145714,23.690426,87005100
2009-10-14,27.464285,27.474285,27.175714,27.327143,23.848755,93877700
2009-10-15,27.090000,27.274286,27.075714,27.222857,23.757746,93389100
2009-10-16,27.049999,27.194286,26.834286,26.864286,23.444820,107856700
2009-10-19,26.835714,27.142857,26.507143,27.122858,23.670473,235557700
2009-10-20,28.657143,28.821428,28.264286,28.394285,24.780069,285259800
2009-10-21,28.502857,29.815714,28.461428,29.274286,25.548059,298431700
2009-10-22,29.242857,29.692858,28.930000,29.314285,25.582972,197848000
2009-10-23,29.385714,29.400000,29.032858,29.134285,25.425871,105196700
2009-10-26,29.095715,29.535715,28.585714,28.925714,25.243853,121084600
2009-10-27,28.808571,28.972857,28.064285,28.195715,24.606777,189137900
2009-10-28,28.244286,28.288572,27.299999,27.485714,23.987144,204596700
2009-10-29,27.857143,28.115715,27.448572,28.049999,24.479609,142567600
2009-10-30,28.008572,28.114286,26.881428,26.928572,23.500919,179381300
2009-11-02,27.114286,27.554285,26.510000,27.044285,23.601912,169745800
2009-11-03,26.835714,27.074286,26.559999,26.964285,23.532089,130635400
2009-11-04,27.247143,27.692858,27.175714,27.258572,23.788916,121882600
2009-11-05,27.485714,27.857143,27.402857,27.718571,24.190361,96200300
2009-11-06,27.501429,27.884285,27.485714,27.762857,24.229012,73774400
2009-11-09,28.134285,28.842857,28.037144,28.780001,25.116686,132213900
2009-11-10,28.717142,29.282858,28.715714,28.997143,25.306190,100298800
2009-11-11,29.222857,29.285715,28.832857,29.035715,25.339853,110967500
2009-11-12,29.020000,29.267143,28.775715,28.855715,25.182768,90932800
2009-11-13,28.981428,29.261429,28.867144,29.207144,25.489460,85810200
2009-11-16,29.354286,29.714285,29.287144,29.518572,25.761248,121301600
2009-11-17,29.440001,29.634285,29.285715,29.571428,25.807371,99128400
2009-11-18,29.505714,29.571428,29.142857,29.422857,25.677721,93580200
2009-11-19,29.230000,29.230000,28.542856,28.644285,24.998247,135581600
2009-11-20,28.450001,28.627142,28.251429,28.559999,24.924688,101666600
2009-11-23,29.000000,29.428572,28.992857,29.411428,25.667742,118724200
2009-11-24,29.332857,29.411428,28.985714,29.205715,25.488211,79609600
2009-11-25,29.342857,29.378571,29.108572,29.170000,25.457045,71613500
2009-11-27,28.459999,28.994286,28.338572,28.655714,25.008221,73814300
2009-11-30,28.730000,28.811428,28.395714,28.558571,24.923439,106214500
2009-12-01,28.891428,28.967142,28.118572,28.138571,24.556904,116440800
2009-12-02,28.422857,28.774286,27.964285,28.032858,24.464645,178815000
2009-12-03,28.202858,28.425714,28.038572,28.068571,24.495810,112179900
2009-12-04,28.528572,28.554285,27.182858,27.617144,24.101849,206721200
2009-12-07,27.617144,27.681429,26.954287,26.992857,23.557026,178689700
2009-12-08,27.051428,27.478571,26.957144,27.124287,23.671721,172599700
2009-12-09,27.325714,28.308571,27.187143,28.257143,24.660383,171195500
2009-12-10,28.500000,28.528572,28.017143,28.061428,24.489580,122417400
2009-12-11,28.254286,28.285715,27.632856,27.809999,24.270157,107443700
2009-12-14,27.910000,28.204287,27.508572,28.139999,24.558149,123947600
2009-12-15,27.975714,28.215714,27.610001,27.738571,24.207821,104864900
2009-12-16,27.871429,28.071428,27.792856,27.861429,24.315041,88246200
2009-12-17,27.751429,27.857143,27.285715,27.408571,23.919823,97209700
2009-12-18,27.595715,27.928572,27.514286,27.918571,24.364904,152192600
2009-12-21,28.007143,28.535715,27.952858,28.318571,24.713989,152976600
2009-12-22,28.491428,28.692858,28.379999,28.622858,24.979548,87378900
2009-12-23,28.742857,28.911428,28.687143,28.871429,25.196476,86381400
2009-12-24,29.078571,29.907143,29.049999,29.862858,26.061712,125222300
2009-12-28,30.245714,30.564285,29.944286,30.230000,26.382114,161141400
2009-12-29,30.375713,30.388571,29.818571,29.871429,26.069189,111301400
2009-12-30,29.832857,30.285715,29.758572,30.234285,26.385860,103021100
2009-12-31,30.447144,30.478571,30.080000,30.104286,26.272409,88102700
2010-01-04,30.490000,30.642857,30.340000,30.572857,26.681330,123432400
2010-01-05,30.657143,30.798571,30.464285,30.625713,26.727465,150476200
2010-01-06,30.625713,30.747143,30.107143,30.138571,26.302330,138040000
2010-01-07,30.250000,30.285715,29.864286,30.082857,26.253704,119282800
2010-01-08,30.042856,30.285715,29.865715,30.282858,26.428249,111902700
2010-01-11,30.400000,30.428572,29.778572,30.015715,26.195114,115557400
